Allen Crabbe,crabbal01,2014,208,100,-0.570583011,-7.361154482,-7.931737493,1.36193485,1.37417253,2.73610738,-0.295464206,-6.04545193,-6.340916136,-0.183356754,-0.183356754,0,0.154741098,-6.389972387,-6.235231289,0.077593714,,Allen Crabbe,crabbal01,2015,1471,722,-0.760789589,-0.973288683,-1.734078273,-3.304971597,0.520131802,-2.784839795,-1.337087037,-0.750440052,-2.087527089,0.250762331,0.122785754,0.127976577,-1.149174797,-0.791522976,-1.940697773,-0.050982037,,,,,,,,,,,,,,,,,,,,,,
Alonzo Gee,geeal01,2014,2055,1020,-2.895136971,-2.129485945,-5.024622916,-4.049399511,-1.524700615,-5.574100126,-3.300852499,-2.111005286,-5.411857785,-1.390884227,-1.390884227,0,-3.294311153,-2.211826464,-5.506137617,0.390709869,,Alonzo Gee,geeal01,2015,1389,665,-1.579135996,-0.310567063,-1.889703059,-4.059775578,-0.727453843,-4.787229421,-2.185441559,-0.385179172,-2.570620731,0.058772545,0.047353691,0.011418854,-2.724896756,-1.256383361,-3.981280117,0.389154557,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,stoudam01,2014,2769,1466,-0.511120679,0.503227803,-0.007892876,-2.318171849,-3.382024234,-5.700196084,-0.942576863,-0.238217657,-1.18079452,1.162911083,1.162911083,0,-0.956225982,-1.06585962,-2.022085602,-0.881044917,,Amar'e Stoudemire,stoudam01,2015,2607,1320,0.197486938,0.261603175,0.459090113,2.349206371,-1.459366353,0.889840018,0.699317596,-0.040766756,0.658550841,2.344793224,2.564296345,-0.219503121,0.380934456,-0.478322563,-0.097388107,-0.425372705,,,,,,,,,,,,,,,,,,,,,,
Amir Johnson,johnsam01,2014,4638,2405,-0.579213754,1.438496191,0.859282437,0.734064354,-0.534564523,0.199499832,-0.366654581,1.092796854,0.726142273,4.251068753,4.175588296,0.075480457,-0.459059839,1.308132733,0.849072894,-0.212756256,,Amir Johnson,johnsam01,2015,4119,2091,-0.067804529,0.366994146,0.299189617,0.825833913,0.553205486,1.379039399,0.061103946,0.471667086,0.532771031,3.49629554,3.558334586,-0.062039046,0.076949121,-0.075199274,0.001749847,-0.167159315,,,,,,,,,,,,,,,,,,,,,,
Anderson Varejao,varejan01,2014,3507,1800,0.105923531,3.421403441,3.527326972,1.807934818,3.078438331,4.886373149,0.489470779,3.59090183,4.08037261,6.245318776,6.245318776,0,0.614140425,2.787764922,3.401905348,-0.419306189,,Anderson Varejao,varejan01,2015,1235,636,-1.048089958,2.715524178,1.66743422,-2.698609138,-1.920715971,-4.619325109,-1.522912681,1.917989056,0.395076375,1.019790835,1.019790835,0,-0.857928526,2.366198059,1.508269533,-0.070115703,,,,,,,,,,,,,,,,,,,,,,
Andre Drummond,drumman01,2014,5215,2619,1.063542321,1.156970993,2.220513314,1.996864814,-3.968138508,-1.971273694,1.321477285,0.220975065,1.54245235,5.72519476,5.72519476,0,1.51250429,0.854177444,2.366681735,-0.174572698,,Andre Drummond,drumman01,2015,4917,2502,-1.661704431,0.972483271,-0.68922116,3.05014006,-2.084443041,0.96569702,-0.766989889,0.419342419,-0.34764747,3.062689292,3.062689292,0,-0.05910765,1.13396994,1.07486229,-0.123914689,,,,,,,,,,,,,,,,,,,,,,
Andre Iguodala,iguodan01,2014,4637,2288,0.24350583,1.993383511,2.236889341,3.446427855,3.20321217,6.649640025,0.946127768,2.312918366,3.259046134,6.986707553,6.845597191,0.141110362,0.631085707,2.856852405,3.487938112,-0.366678722,,Andre Iguodala,iguodan01,2015,5557,2704,0.580781735,1.692357835,2.27313957,-1.283501254,0.083730557,-1.199770697,0.206882185,1.396721108,1.603603293,6.027140891,4.254422849,1.772718042,0.221495754,1.319480015,1.540975769,-0.709953881,,,,,,,,,,,,,,,,,,,,,,
Andre Miller,millean02,2014,2110,1090,1.226812547,-1.497765945,-0.270953398,-0.46223947,1.243748941,0.781509471,0.954625473,-1.01645395,-0.061828477,1.446566805,1.673913216,-0.227346411,0.399344487,-1.934776556,-1.535432069,-0.976144717,,Andre Miller,millean02,2015,2449,1253,0.360030228,-2.599275179,-2.239244951,0.767724606,-3.435980961,-2.668256355,0.464218313,-2.925432712,-2.461214399,0.183936977,0.183936977,0,-0.300444185,-3.330320111,-3.630764295,-0.780566624,,,,,,,,,,,,,,,,,,,,,,
Andre Roberson,roberan03,2014,830,408,-2.781072064,1.946144425,-0.834927638,-0.763831643,1.397918849,0.634087206,-2.603527367,1.882327541,-0.721199826,0.413879682,0.472274405,-0.058394724,-3.489192531,3.231993259,-0.257199273,0.101478739,,Andre Roberson,roberan03,2015,2649,1286,-1.448220642,3.087244789,1.639024147,0.692964373,3.596699065,4.289663438,-1.138871509,3.372238109,2.233366599,3.276088395,3.276088395,0,-1.639569992,3.23576469,1.596194698,0.188167291,,,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,bargnan01,2014,2396,1257,-2.418904258,1.137547779,-1.281356479,-3.936178754,-2.146754383,-6.082933137,-2.901630408,0.563122803,-2.338507605,0.261726072,0.261726072,0,-1.841292385,0.159385612,-1.681906773,-0.789713499,,Andrea Bargnani,bargnan01,2015,1538,785,-2.682723416,-4.48671017,-7.169433586,-4.783557569,-5.763146332,-10.5467039,-3.152251611,-4.960086723,-8.112338334,-2.142028808,-2.142028808,0,-2.584428923,-5.288755203,-7.873184125,-0.251171233,,,,,,,,,,,,,,,,,,,,,,
Andrei Kirilenko,kirilan01,2014,1942,1001,-0.808609425,0.241241282,-0.567368143,-0.400632692,-0.764133593,-1.164766285,-0.789714898,0.054421715,-0.735293183,1.065777564,0.556538373,0.50923919,-0.727780432,-0.426790075,-1.154570507,0.699293553,,Andrei Kirilenko,kirilan01,2015,72,36,-4.390760735,-4.007106161,-8.397866896,-5.61815596,-14.03094,-19.64909596,-4.91302019,-6.334985667,-11.24800586,-0.154673376,-0.154673376,0,-5.135141934,-5.897816444,-11.03295838,-0.867004785,,,,,,,,,,,,,,,,,,,,,,
Andrew Bogut,bogutan01,2014,3612,1769,-1.532202618,4.952926018,3.420723401,-0.382155559,1.267990338,0.885834779,-1.350776044,4.412264549,3.061488504,5.261122124,5.261122124,0,-1.58101865,4.613414351,3.032395701,0.292569369,,Andrew Bogut,bogutan01,2015,4120,2023,-1.928820669,4.569198869,2.6403782,1.530405095,1.582057649,3.112462744,-1.338080686,4.132660496,2.794579811,5.668314947,5.191350616,0.476964331,-1.567612903,4.011554537,2.443941634,-0.554707257,,,,,,,,,,,,,,,,,,,,,,
Andrew Nicholson,nichoan01,2014,2339,1174,-3.558386619,-1.264518621,-4.82290524,-3.690730324,1.20890969,-2.481820634,-3.738620713,-0.790716391,-4.529337104,-1.059002195,-1.059002195,0,-3.875868494,-0.975776785,-4.85164528,-0.609797643,,Andrew Nicholson,nichoan01,2015,969,492,-3.580261543,-2.135829639,-5.716091182,-3.415634955,-0.249229115,-3.66486407,-3.703498528,-1.826462929,-5.529961458,-0.696599292,-0.696599292,0,-3.767266444,-2.761397902,-6.528664346,-0.167952511,,,,,,,,,,,,,,,,,,,,,,
Anthony Bennett,bennean01,2014,1356,663,-5.317443259,-2.591238074,-7.908681333,-3.377629075,-0.991664925,-4.369294,-5.20069247,-2.382186811,-7.582879281,-1.647621533,-1.647621533,0,-4.53620375,-3.357955045,-7.894158795,0.753294646,,Anthony Bennett,bennean01,2015,1831,894,-2.482243013,-3.293728528,-5.775971541,-2.326513947,-4.377680586,-6.704194532,-2.561891678,-3.625313269,-6.187204947,-1.569962416,-1.569962416,0,-2.82534422,-3.493484759,-6.31882898,0.133869261,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,davisan02,2014,4610,2358,1.144708154,2.539155108,3.683863261,1.203007794,0.424147483,1.627155277,1.210109966,2.284343543,3.49445351,7.517069392,7.517069392,0,1.657155606,2.274553174,3.93170878,0.059619409,,Anthony Davis,davisan02,2015,5116,2627,3.639814979,4.440792951,8.080607929,3.834080166,4.316504744,8.15058491,3.840856691,4.708205134,8.549061825,15.16301555,14.52595491,0.637060637,4.356446626,4.731154488,9.087601114,-0.059946736,,,,,,,,,,,,,,,,,,,,,,
Anthony Morrow,morroan01,2014,2777,1426,1.528886342,-1.697402043,-0.168515701,0.085137208,2.264606754,2.349743962,1.319240593,-0.927710865,0.391529727,2.272416829,2.272416829,0,0.48297621,-1.644209077,-1.161232868,-0.553433409,,Anthony Morrow,morroan01,2015,3713,1806,2.574819549,-0.442482997,2.132336552,2.454321086,2.166214506,4.620535591,2.671363968,0.066228268,2.737592236,5.061901515,5.061901515,0,1.952917941,-0.18932842,1.763589521,0.104643253,,,,,,,,,,,,,,,,,,,,,,
Anthony Tolliver,tollian01,2014,2640,1319,0.399088545,-0.672853247,-0.273764703,0.923830982,1.316214087,2.240045069,0.56524748,-0.321615803,0.243631677,2.018122569,1.968035356,0.050087214,-0.472383326,-1.00711438,-1.479497706,0.164672423,,Anthony Tolliver,tollian01,2015,2868,1432,0.187315556,-1.811487681,-1.624172126,2.619471127,-0.276977674,2.342493453,0.695885858,-1.587099362,-0.891213504,1.390284117,1.390284117,0,1.101328927,-1.789625203,-0.688296276,0.318888606,,,,,,,,,,,,,,,,,,,,,,
Archie Goodwin,goodwar01,2014,1110,533,-2.625783345,0.519655094,-2.106128252,-5.813486464,-2.459349719,-8.272836183,-3.493451873,-0.081273211,-3.574725084,-0.225969086,-0.225969086,0,-3.688829222,-1.084180273,-4.773009495,0.725393426,,Archie Goodwin,goodwar01,2015,1092,535,-1.681222329,-1.09478123,-2.776003558,-8.720946901,-3.622607753,-12.34355465,-3.23436424,-1.674054503,-4.908418742,-0.593904325,-0.593904325,0,-3.460453738,-1.85155835,-5.312012088,0.772946985,,,,,,,,,,,,,,,,,,,,,,
Arinze Onuaku,onuakar01,2014,61,30,4.865704972,-6.205470345,-1.339765373,1.678051306,-6.784090969,-5.106039663,4.523003609,-6.654052648,-2.131049039,0.010759672,0.010759672,0,4.487302903,-7.463540789,-2.976237886,0.031773374,,Arinze Onuaku,onuakar01,2015,138,68,-0.193700815,0.475349044,0.281648228,6.208437534,-6.701327678,-0.492890145,1.169661431,-0.89317494,0.276486491,0.104468277,0.104468277,0,-1.504375333,-2.449580437,-3.953955769,-0.485350854,,,,,,,,,,,,,,,,,,,,,,
